artist,song,date,rank,weeks-on-board
3OH!3,Don't Trust Me,2009-09-05,7,37
3OH!3,Double Vision,2010-11-20,87,4
3OH!3,Hit It Again,2011-01-08,66,1
3OH!3,I Can Do Anything,2010-07-17,100,1
3OH!3,Set You Free,2012-01-21,84,1
3OH!3,Touchin On My,2010-06-12,49,2
3OH!3 Featuring Katy Perry,Starstrukk,2009-11-21,66,12
3OH!3 Featuring Ke$ha,My First Kiss,2010-09-18,9,18
3OH!3 Featuring Neon Hitch,Follow Me Down                ,2010-03-20,89,2
3T,Anything,1996-05-18,15,33
3rd Bass,Pop Goes The Weasel,1991-10-05,29,13
3rd Party,Can U Feel It,1997-09-13,43,20
3rd Party,Love Is Alive,1997-12-06,61,11
4 By Four,Want You For My Girlfriend,1987-07-18,79,6
4 Non Blondes,What's Up,1993-10-16,14,26
4 The Cause,Stand By Me,1998-09-19,82,5
4.0,Have A Little Mercy,1998-01-03,46,20
42 Dugg & Roddy Ricch,4 Da Gang,2021-07-24,67,14
42 Dugg Featuring Future,Maybach,2021-11-06,68,5
49-ers,Don't You Love Me,1990-08-11,78,9
4PM,Sukiyaki,1995-04-22,8,32
5 Satins,Shadows,1959-12-14,87,3
5 Seconds Of Summer,Amnesia,2014-11-29,16,20
5 Seconds Of Summer,Don't Stop,2014-06-14,47,3
5 Seconds Of Summer,Easier,2019-09-21,48,16
5 Seconds Of Summer,Everything I Didn't Say,2014-08-02,24,1
5 Seconds Of Summer,Fly Away,2015-09-05,100,1
5 Seconds Of Summer,Girls Talk Boys,2016-08-06,68,1
5 Seconds Of Summer,Good Girls,2014-12-06,34,2
5 Seconds Of Summer,Jet Black Heart,2015-09-19,95,1
5 Seconds Of Summer,Kiss Me Kiss Me,2014-07-05,28,1
5 Seconds Of Summer,She Looks So Perfect,2014-08-30,24,20
5 Seconds Of Summer,She's Kinda Hot,2015-10-03,22,9
5 Seconds Of Summer,Want You Back,2018-03-10,61,1
5 Seconds Of Summer,Youngblood,2019-05-11,7,48
5 Stairsteps and Cubie,Something's Missing,1968-01-06,88,6
5 Stairsteps and Cubie,The Shadow Of Your Love,1968-04-20,94,1
50 Cent,Disco Inferno,2005-06-25,3,29
50 Cent,Get Up,2008-12-27,44,9
50 Cent,Hustler's Ambition,2005-12-03,65,5
50 Cent,I Get It In,2009-03-07,53,2
50 Cent,I Get Money,2007-12-08,20,14
50 Cent,If I Can't,2003-11-22,76,8
50 Cent,In Da Club,2003-08-02,1,30
50 Cent,Just A Lil Bit,2005-09-24,3,27
50 Cent,Outlaw,2011-08-06,87,1
50 Cent,Outta Control,2005-09-17,92,1
50 Cent,P.I.M.P.,2003-11-15,3,25
50 Cent,Piggy Bank,2005-03-26,88,1
50 Cent,Straight To The Bank,2007-06-09,32,3
50 Cent,The Invitation,2009-12-05,97,1
50 Cent,Wanksta,2003-04-12,13,20
50 Cent,Window Shopper,2006-01-21,20,11
50 Cent & Olivia,Best Friend,2006-06-17,35,15
50 Cent Feat. Mobb Deep,Outta Control (Remix),2005-11-26,6,19
50 Cent Featuring Akon,Still Will,2007-12-15,95,1
50 Cent Featuring Dr. Dre & Alicia Keys,New Day,2012-08-18,79,1
50 Cent Featuring Eminem & Adam Levine,My Life,2012-12-29,27,3
50 Cent Featuring Justin Timberlake & Timbaland,Ayo Technology,2008-01-05,5,20
50 Cent Featuring Nate Dogg,21 Questions,2003-08-23,1,23
50 Cent Featuring Ne-Yo,Baby By Me,2010-02-06,28,13
50 Cent Featuring Olivia,Candy Shop,2005-07-09,1,23
5000 Volts,I'm On Fire,1975-12-20,26,10
504 Boyz,Wobble Wobble,2000-08-12,17,18
69 Boyz,Kitty Kitty,1995-04-22,51,20
69 Boyz,Tootsee Roll,1995-03-25,8,38
69 Boyz,Woof Woof,1998-10-31,31,16
69 Boyz Featuring Quad City DJ's,"Hoop In Yo Face (From ""Sunset Park"")",1996-06-01,95,3
6LACK,Prblms,2017-06-03,72,8
6LACK Featuring J. Cole,Pretty Little Fears,2018-09-29,76,1
6LACK Featuring Lil Baby,Know My Rights,2020-07-11,75,1
6ix9ine,Billy,2018-04-28,50,8
6ix9ine,Gooba,2020-07-25,3,10
6ix9ine,Gotti,2018-04-28,99,1
6ix9ine,Gummo,2018-04-07,12,20
6ix9ine,Kooda,2018-03-10,50,9
6ix9ine,YaYa,2020-07-18,99,1
6ix9ine,ZaZa,2021-03-06,90,1
6ix9ine & Nicki Minaj,Trollz,2020-07-18,1,4
6ix9ine Featuring A Boogie Wit da Hoodie,WAKA,2018-12-22,51,3
6ix9ine Featuring Anuel AA,BEBE,2018-12-08,30,5
6ix9ine Featuring Bobby Shmurda,STOOPID,2018-12-15,25,9
6ix9ine Featuring DJ SPINKING,TATI,2018-07-07,46,5
6ix9ine Featuring Lil Baby,TIC TOC,2018-12-22,53,3
6ix9ine Featuring Nicki Minaj & Kanye West,MAMA,2018-12-29,43,4
6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,2018-12-15,3,20
6ix9ine Featuring Tory Lanez,KIKA,2019-01-19,44,6
6ix9ine Featuring Tory Lanez & Young Thug,RONDO,2018-03-10,73,1
"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",KEKE,2018-03-17,43,8
7 Mile,Do Your Thing,1998-08-29,50,19
702,"All I Want (From ""GOOD Burger"")",1997-11-01,35,12
702,Get It Together,1997-06-28,10,20
702,Steelo,1997-01-25,32,20
702,Where My Girls At?,2000-02-12,4,42
707,I Could Be Good For You,1980-12-06,52,9
707,Mega Force,1982-08-14,62,6
9.9,All Of Me For All Of You,1985-11-16,51,13
95 South,Rodeo,1995-06-10,77,18
95 South,"Whoot, There It Is",1993-10-16,11,25
98 Degrees,Because Of You,1999-02-13,3,20
98 Degrees,Give Me Just One Night (Una Noche),2000-12-30,2,20
98 Degrees,I Do (Cherish You),1999-12-18,13,20
98 Degrees,Invisible Man,1998-01-17,12,28
98 Degrees,My Everything,2001-04-21,34,20
98 Degrees,The Hardest Thing,1999-09-04,5,24
98 Degrees,This Gift,2000-01-15,49,3
? (Question Mark) & The Mysterians,96 Tears,1966-12-10,1,15
? (Question Mark) & The Mysterians,"Can't Get Enough Of You, Baby",1967-04-29,56,6
? (Question Mark) & The Mysterians,Girl (You Captivate Me),1967-06-17,98,2
? (Question Mark) & The Mysterians,I Need Somebody,1967-01-21,22,10
A Boogie Wit da Hoodie,Bleed,2020-07-04,57,1
A Boogie Wit da Hoodie,Cinderella Story,2020-02-29,95,1
A Boogie Wit da Hoodie,King Of My City,2020-02-29,69,3
A Boogie Wit da Hoodie,Look Back At It,2019-07-20,27,31
A Boogie Wit da Hoodie,Me And My Guitar,2020-03-07,58,2
A Boogie Wit da Hoodie,Mood Swings,2019-09-28,76,1
A Boogie Wit da Hoodie,My Sh*t,2017-02-04,86,12
A Boogie Wit da Hoodie,No Promises,2017-10-28,74,2
A Boogie Wit da Hoodie,Say A',2017-10-28,75,2
A Boogie Wit da Hoodie,Thug Love,2020-02-29,73,1
A Boogie Wit da Hoodie Featuring 21 Savage,Undefeated,2017-10-21,84,1
A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin,2019-05-18,38,20
A Boogie Wit da Hoodie Featuring DJ SPINKING,Timeless,2017-02-04,86,4
A Boogie Wit da Hoodie Featuring DaBaby,Stain,2020-02-29,80,1
A Boogie Wit da Hoodie Featuring Juice WRLD,Demons And Angels,2019-01-19,90,3
A Boogie Wit da Hoodie Featuring Kodak Black,Drowning,2017-09-09,38,21
A Boogie Wit da Hoodie Featuring Lil Durk,24 Hours,2021-06-05,92,1
A Boogie Wit da Hoodie Featuring Lil Uzi Vert,Reply,2019-12-07,49,2
A Boogie Wit da Hoodie Featuring Offset & Tyga,Startender,2019-03-02,59,9
A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,Beast Mode,2017-10-21,86,1
"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",Numbers,2020-03-14,23,3
A Boogie Wit da Hoodie Featuring Young Thug,Might Not Give Up,2020-02-29,66,1
A Few Good Men,Have I Never,1996-05-25,76,10
A Flock Of Seagulls,I Ran (So Far Away),1982-12-04,9,22
A Flock Of Seagulls,Space Age Love Song,1983-03-12,30,18
A Flock Of Seagulls,"The More You Live, The More You Love",1984-10-06,56,9
A Flock Of Seagulls,Wishing (If I Had A Photograph Of You),1983-08-13,26,14
A Great Big World & Christina Aguilera,Say Something,2014-05-17,4,26
A Great Big World Featuring FUTURISTIC,Hold Each Other,2015-10-24,99,2
A Perfect Circle,The Outsider,2004-06-19,79,5
A Perfect Circle,Weak And Powerless,2004-01-24,61,18
A R Rahman & The Pussycat Dolls Featuring Nicole Scherzinger,Jai Ho! (You Are My Destiny),2009-05-30,15,13
A Rocket To The Moon,Like We Used To,2010-10-23,91,1
A Taste Of Honey,Boogie Oogie Oogie,1978-11-25,1,23
A Taste Of Honey,Do It Good,1979-09-01,79,4
A Taste Of Honey,I'll Try Something New,1982-05-15,41,10
A Taste Of Honey,Sukiyaki,1981-08-15,3,24
A Thousand Horses,Smoke,2015-07-25,47,20
A Tribe Called Quest,Award Tour,1994-03-05,47,18
A Tribe Called Quest,Electric Relaxation (Relax Yourself Girl),1994-05-14,65,9
A Tribe Called Quest,Find A Way,1998-10-24,71,7
A Tribe Called Quest,Scenario,1992-09-12,57,15
A Tribe Called Quest,We The People....,2016-12-03,77,1
A$AP Ferg,Work,2013-06-22,100,2
A$AP Ferg Featuring  Nicki Minaj & MadeinTYO,Move Ya Hips,2020-08-22,19,2
A$AP Ferg Featuring Future,New Level,2016-05-14,90,3
A$AP Ferg Featuring Nicki Minaj,Plain Jane,2018-03-24,27,25
A$AP Rocky,Babushka Boi,2019-09-14,69,1
A$AP Rocky,L$D,2015-06-27,62,3
A$AP Rocky,Long Live A$AP,2013-02-02,86,1
"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",F**kin Problems,2013-05-18,8,27
A$AP Rocky Featuring Moby,A$AP Forever,2018-06-09,63,2
A$AP Rocky Featuring Rod Stewart x Miguel x Mark Ronson,Everyday,2015-06-27,92,2
A$AP Rocky Featuring ScHoolboy Q,Electric Body,2015-06-20,80,2
A$AP Rocky Featuring Skepta,Praise The Lord (Da Shine),2018-08-11,45,8
A$AP Rocky Featuring Skrillex,Wild For The Night,2013-07-13,80,16
A'me Lorain,Follow My Heartbeat,1990-07-21,72,6
A'me Lorain,"Whole Wide World (From ""True Love"")",1990-06-02,9,20
A*Teens,Bouncing Off The Ceiling (Upside Down),2001-01-20,93,3
A*Teens,Dancing Queen,2000-08-05,95,5
A+,All I See,1996-11-02,66,14
A+,Enjoy Yourself,1998-11-28,63,3
A-Trak + Milo & Otis Featuring Rich Kidz,Out The Speakers,2015-02-21,98,1
A.B. Skhy,Camel Back,1969-12-06,100,1
A.L.T. And The Lost Civilization,Tequila,1992-10-10,48,14
AB Logic,Get Up (Move Boy Move),1993-03-06,83,11
AB Logic,The Hitman,1992-12-12,60,20
ABBA,Angeleyes,1979-10-20,64,5
ABBA,Chiquitita,1980-01-26,29,12
ABBA,Dancing Queen,1977-05-07,1,22
ABBA,Does Your Mother Know,1979-08-18,19,14
ABBA,Fernando,1976-12-18,13,16
ABBA,"Honey, Honey",1974-11-16,27,10
ABBA,"I Do, I Do, I Do, I Do, I Do",1976-05-22,15,15
ABBA,"Knowing Me, Knowing You",1977-08-20,14,15
ABBA,Mamma Mia,1976-07-17,32,9
ABBA,"Money, Money, Money",1977-12-03,56,7
ABBA,On And On And On,1981-08-01,90,6
ABBA,S.O.S.,1975-12-13,15,17
ABBA,Super Trouper,1981-06-13,45,11
ABBA,Take A Chance On Me,1978-08-19,3,18
ABBA,The Name Of The Game,1978-04-08,12,16
ABBA,The Visitors,1982-06-05,63,8
ABBA,The Winner Takes It All,1981-05-16,8,26
ABBA,Voulez-Vous,1979-09-15,80,3
ABBA,Waterloo,1974-09-21,6,17
ABBA,When All Is Said And Done,1982-04-10,27,14
ABC,(How To Be A) Millionaire,1986-04-19,20,14
ABC,Be Near Me,1986-01-18,9,22
ABC,Poison Arrow,1983-05-07,25,15
ABC,That Was Then But This Is Now,1984-02-18,89,3
ABC,The Look Of Love (Part One),1983-02-26,18,25
ABC,Vanity Kills,1986-06-07,91,4
ABC,When Smokey Sings,1987-11-07,5,19
AC/DC,Back In Black,1981-03-28,37,15
AC/DC,"Big Gun (From ""Last Action Hero"")",1993-09-11,65,11
AC/DC,Guns For Hire,1983-10-29,84,5
AC/DC,Highway To Hell,1979-12-15,47,10
AC/DC,Let's Get It Up,1982-03-13,44,9
AC/DC,Moneytalks,1991-03-23,23,16
AC/DC,You Shook Me All Night Long,1980-12-20,35,16
AFI,Love Like Winter,2007-01-27,68,5
AFI,Miss Murder,2006-09-30,24,20
AJR,Bang!,2021-03-13,8,35
AJR,Burn The House Down,2018-12-01,100,1
AJR,I'm Ready,2014-08-30,65,11
AJR,Way Less Sad,2021-08-14,54,15
AJR,Weak,2017-08-05,73,11
ATC,Around The World (La La La La La),2001-06-09,28,18
AWB,Cut The Cake,1975-07-19,10,15
AWB,If I Ever Lose This Heaven,1975-10-11,39,8
AWB,Pick Up The Pieces,1975-03-29,1,17
AWB,School Boy Crush,1976-01-10,33,7
AWB,Walk On By,1979-04-28,92,3
AWOLNATION,Sail,2014-03-22,17,79
AZ,Sugar Hill,1995-11-25,25,20
Aaliyah,Age Ain't Nothing But A Number,1995-03-04,75,8
Aaliyah,Are You That Somebody?,1999-01-23,21,8
Aaliyah,At Your Best (You Are Love),1995-01-14,6,20
Aaliyah,Back & Forth,1994-10-08,5,24
Aaliyah,Come Over,2003-10-25,32,20
Aaliyah,I Care 4 U,2003-01-04,16,20
Aaliyah,I Don't Wanna,2000-06-10,35,20
Aaliyah,If Your Girl Only Knew,1997-01-11,11,20
Aaliyah,Miss You,2003-06-21,3,30
Aaliyah,More Than A Woman,2002-07-13,25,24
Aaliyah,Rock The Boat,2002-02-23,14,25
Aaliyah,The One I Gave My Heart To,1998-02-14,9,20
Aaliyah,Try Again,2000-10-21,1,32
Aaliyah Featuring Timbaland,We Need A Resolution,2001-10-06,59,16
Aaron Carter,Aaron's Party (Come Get It),2000-12-02,35,15
Aaron Carter,That's How I Beat Shaq,2001-05-05,96,2
Aaron Hall,All The Places (I Will Kiss You),1999-01-30,26,16
Aaron Hall,Don't Be Afraid,1992-06-27,44,16
Aaron Hall,I Miss You,1994-10-15,14,23
Aaron Lewis,Am I The Only One,2021-07-31,14,2
Aaron Lewis Featuring George Jones & Charlie Daniels,Country Boy,2011-03-19,87,2
Aaron Lewis Of Staind With Fred Durst,Outside,2001-06-02,56,19
Aaron Lines,You Can't Hide Beautiful,2003-04-19,38,17
Aaron Neville,Can't Stop My Heart From Loving You (The Rain Song),1995-07-29,99,1
Aaron Neville,Don't Take Away My Heaven,1993-10-02,56,20
Aaron Neville,Everybody Plays The Fool,1991-11-30,8,20
Aaron Neville,She Took You For A Ride,1967-04-15,92,4
Aaron Neville,Tell It Like It Is,1967-03-04,2,14
Aaron Neville,The Grand Tour,1993-11-06,90,5
Aaron Tippin,For You I Will,1999-02-20,49,20
Aaron Tippin,I'm Leaving,1999-05-15,87,3
Aaron Tippin,Kiss This,2001-01-06,42,20
Aaron Tippin,Where The Stars And Stripes And The Eagle Fly,2002-03-02,20,20
Abaco Dream,Life And Death In G & A,1969-10-11,74,6
Abra Moore,Four Leaf Clover,1997-10-11,63,13
Abstrac',Right And Hype,1990-01-27,89,6
Ace,How Long,1975-06-21,3,16
Ace,Rock & Roll Runaway,1975-08-16,71,4
Ace Cannon,Blues (Stay Away From Me),1962-05-26,36,7
Ace Cannon,Cottonfields,1963-08-03,67,7
Ace Cannon,Searchin',1964-03-21,84,2
Ace Cannon,Sugar Blues,1962-04-14,92,1
Ace Cannon,Tuff,1962-04-14,17,16
Ace Frehley,New York Groove,1979-03-03,13,21
Ace Hood,Hustle Hard,2011-08-06,60,16
Ace Hood Featuring Chris Brown,Body 2 Body,2011-12-24,65,13
Ace Hood Featuring Future & Rick Ross,Bugatti,2013-07-13,33,20
Ace Hood Featuring Trey Songz,Ride,2008-12-06,90,1
Ace Of Base,All That She Wants,1994-05-21,2,36
Ace Of Base,Beautiful Life,1996-03-23,15,20
Ace Of Base,Cruel Summer,1998-11-28,10,20
Ace Of Base,Don't Turn Around,1994-12-03,4,31
Ace Of Base,Living In Danger,1995-03-04,20,20
Ace Of Base,Lucky Love,1996-06-15,30,17
Ace Of Base,The Sign,1994-10-08,1,41
Ace Of Base,Whenever You're Near Me,1998-11-28,76,5
Ace Spectrum,Don't Send Nobody Else,1974-11-02,57,6
Action Bronson Featuring Chance The Rapper,Baby Blue,2015-04-11,91,1
Adam Ant,Desperate But Not Serious,1983-04-30,66,8
Adam Ant,Goody Two Shoes,1983-04-02,12,21
