artists,title,date,accousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness
"Bone Thugs-N-Harmony, Akon",I Tried,2007-06-02,0.0104,0.727,287480,0.71,0.0,0.107,0.0742
Bonnie Raitt,Something To Talk About,1991-10-26,0.0631,0.795,227573,0.64,2.13e-06,0.0692,0.0294
Bonnie Tyler,It's a Heartache,1978-07-15,0.0381,0.535,215160,0.676,0.0,0.0837,0.0296
Bonnie Tyler,Total Eclipse of the Heart,1983-11-19,0.145,0.431,267360,0.723,0.0,0.374,0.0568
Booker T. & the M.G.'s,Green Onions,1962-10-20,0.767,0.816,176333,0.514,0.949,0.0899,0.0339
Booker T. & the M.G.'s,Hang 'Em High,1969-02-15,0.0251,0.44,236307,0.306,0.839,0.104,0.0349
Booker T. & the M.G.'s,Time Is Tight,1969-05-10,0.067,0.772,195227,0.43,0.889,0.104,0.0464
Boston,Amanda,1986-11-29,0.32,0.449,256200,0.424,1.69e-06,0.107,0.0323
Boston,Don't Look Back,1978-10-21,0.015,0.359,360333,0.717,0.00365,0.36,0.0405
Boston,More Than a Feeling,1977-01-01,0.00088,0.377,285133,0.681,0.0023,0.0504,0.0298
Boston,We're Ready,1987-02-14,0.615,0.344,237667,0.497,0.000246,0.151,0.0395
"Bow Wow, Chris Brown, Johnta Austin",Shortie Like Mine (feat. Chris Brown & Johntá Austin),2007-01-06,0.0745,0.758,268067,0.642,0.0,0.191,0.221
"Bow Wow, Ciara",Like You (feat. Ciara),2005-11-12,0.0465,0.714,205840,0.6,0.0,0.0646,0.0876
"Bow Wow, Omarion",Let Me Hold You (feat. Omarion),2005-09-17,0.0915,0.815,248493,0.662,0.000409,0.0898,0.199
Boy Meets Girl,Waiting for a Star to Fall,1989-01-07,0.145,0.662,270720,0.844,0.00011,0.137,0.027
Boys Club Band,I Remember Holding You,1989-01-14,0.307,0.609,293079,0.843,0.000598,0.0517,0.0447
Boyz II Men,4 Seasons Of Loneliness,1997-11-29,0.821,0.583,292400,0.488,1.71e-05,0.115,0.0444
Boyz II Men,A Song For Mama,1998-02-28,0.471,0.569,303373,0.44,0.0,0.143,0.035
Boyz II Men,End Of The Road,1992-12-05,0.0664,0.64,351467,0.427,0.0,0.0579,0.0241
Boyz II Men,In The Still Of The Nite (I'll Remember),1993-02-20,0.792,0.537,169840,0.184,0.0,0.126,0.0381
Boyz II Men,It's So Hard To Say Goodbye To Yesterday,1992-01-18,0.915,0.3,168627,0.225,0.0,0.159,0.0264
Boyz II Men,Motownphilly,1991-10-12,0.0143,0.754,235227,0.857,2.14e-05,0.278,0.0605
Boyz II Men,On Bended Knee,1995-03-18,0.413,0.631,329800,0.516,0.0,0.115,0.0353
Boyz II Men,Water Runs Dry,1995-08-19,0.475,0.589,201400,0.368,0.0,0.108,0.0264
Boz Scaggs,Lowdown,1976-10-23,0.0812,0.662,315640,0.788,0.141,0.0351,0.0635
Brandy,Baby,1995-04-08,0.0236,0.807,313293,0.651,6.65e-06,0.174,0.0477
Brandy,Have You Ever,1999-03-06,0.542,0.698,273440,0.533,0.0,0.333,0.0437
Brandy,I Wanna Be Down,1995-01-21,0.177,0.703,291667,0.469,0.0,0.726,0.0415
Brandy,Sittin' Up In My Room - from Waiting to Exhale - Original Soundtrack,1996-04-27,0.245,0.796,292067,0.515,0.00196,0.0515,0.0276
"Brandy, Dexter Simmons, Rodney Jerkins",What About Us? - Radio Mix,2002-03-23,0.246,0.532,237200,0.711,0.0,0.309,0.361
"Brandy, Monica",The Boy Is Mine,1998-10-03,0.539,0.704,294787,0.707,0.00106,0.318,0.0391
"Brandy, Wanya Morris",Brokenhearted (feat. Wanya Morris) - Single Version,1995-10-21,0.488,0.329,286493,0.517,0.0,0.0985,0.0353
Bread,Baby I'm-A Want You,1971-12-18,0.452,0.539,143173,0.479,0.0,0.113,0.0289
Bread,Everything I Own,1972-03-25,0.735,0.365,187000,0.338,0.0,0.104,0.0322
Bread,If,1971-05-22,0.912,0.388,155773,0.176,0.000336,0.0977,0.0299
Bread,It Don't Matter to Me,1970-11-14,0.652,0.493,163347,0.26,3.32e-06,0.121,0.0402
Bread,Lost Without Your Love,1977-02-19,0.376,0.266,176893,0.345,1.9e-05,0.103,0.0309
Bread,Make It with You,1970-09-19,0.66,0.629,192200,0.356,0.000617,0.173,0.0246
Breakfast Club,Right On Track,1987-05-30,0.0613,0.763,256947,0.824,4.45e-05,0.0226,0.033
Breathe,Don't Tell Me Lies,1989-03-18,0.0256,0.341,222440,0.73,2.49e-06,0.0783,0.0467
Breathe,Hands To Heaven,1988-08-20,0.242,0.543,259507,0.384,1.16e-06,0.266,0.0307
Breathe,How Can I Fall ?,1988-12-17,0.397,0.499,284360,0.417,0.0,0.0622,0.0286
Brenda Lee,All Alone Am I,1962-12-08,0.754,0.409,166573,0.342,0.0,0.357,0.0252
Brenda Lee,Break It To Me Gently,1962-03-17,0.588,0.539,164000,0.26,0.0,0.134,0.0268
Brenda Lee,Dum Dum,1961-08-21,0.831,0.691,146173,0.618,0.0,0.136,0.154
Brenda Lee,Emotions,1961-02-20,0.742,0.466,171227,0.416,5.04e-06,0.249,0.026
Brenda Lee,Everybody Loves Me But You,1962-06-02,0.873,0.659,150360,0.0957,9.08e-06,0.405,0.0384
Brenda Lee,Fool #1,1961-12-04,0.491,0.442,147533,0.237,0.0,0.305,0.0321
Brenda Lee,I Want To Be Wanted (Per Tutta La Vita),1960-11-14,0.593,0.515,185960,0.412,0.0,0.218,0.0277
Brenda Lee,I'm Sorry,1960-09-05,0.868,0.558,161547,0.223,0.000972,0.13,0.0299
Brenda Lee,Losing You,1963-06-01,0.516,0.384,154173,0.303,0.0,0.185,0.027
Brenda Lee,Rockin' Around The Christmas Tree,2021-01-02,0.614,0.589,126267,0.472,0.0,0.505,0.0502
Brenda Lee,Sweet Nothin's,1960-05-02,0.642,0.778,144600,0.413,0.00104,0.148,0.0514
Brenda Lee,That's All You Gotta Do,1960-08-01,0.43,0.405,148973,0.57,5.09e-06,0.238,0.042
Brenda Lee,You Can Depend On Me,1961-05-15,0.857,0.563,214520,0.153,0.00193,0.085,0.0272
Brenda Russell,Piano In The Dark,1988-06-04,0.403,0.729,320800,0.316,8.55e-05,0.0998,0.0248
Brenton Wood,Gimme Little Sign,1967-10-21,0.154,0.742,141329,0.663,0.0,0.197,0.0321
Brewer & Shipley,One Toke Over the Line,1971-04-17,0.156,0.581,199293,0.806,4.53e-06,0.215,0.0335
Brian Connolly (The Sweet),Little Willy,1973-06-02,0.195,0.733,196640,0.425,7.48e-06,0.0876,0.0381
Brian Hyland,Gypsy Woman,1971-01-02,0.0952,0.61,154440,0.685,7.83e-05,0.16,0.0312
Brian Hyland,Sealed With A Kiss,1962-08-18,0.743,0.449,162160,0.362,0.0,0.132,0.0279
Brian McKnight,Back At One,2000-02-12,0.452,0.661,263667,0.346,0.0,0.131,0.03
Brick,Dazz - Single Version,1977-02-12,0.0697,0.722,202000,0.778,7.46e-06,0.0414,0.0611
Britney Spears,(You Drive Me) Crazy,1999-11-13,0.0534,0.748,198067,0.939,0.0,0.32,0.0341
Britney Spears,...Baby One More Time,1999-03-13,0.202,0.759,211067,0.699,0.000131,0.443,0.0307
Britney Spears,3,2010-01-02,0.0452,0.697,213173,0.709,0.0,0.138,0.0455
Britney Spears,Circus,2009-02-14,0.147,0.791,192360,0.733,0.000381,0.0713,0.052
Britney Spears,Gimme More,2007-10-27,0.25,0.788,251240,0.844,0.000678,0.0723,0.0334
Britney Spears,Hold It Against Me,2011-02-26,0.0103,0.648,228827,0.722,0.0,0.24,0.0427
Britney Spears,I Wanna Go,2011-09-03,0.00379,0.696,210267,0.546,3.8e-06,0.332,0.0414
Britney Spears,Oops!...I Did It Again,2000-06-24,0.3,0.751,211160,0.834,1.77e-05,0.355,0.0437
Britney Spears,Till the World Ends,2011-06-18,0.0228,0.693,237947,0.705,0.0,0.202,0.0665
Britney Spears,Toxic,2004-04-17,0.0249,0.774,198800,0.838,0.025,0.242,0.114
Britney Spears,Womanizer,2009-01-24,0.073,0.724,224400,0.695,0.0,0.0889,0.0622
Brook Benton,Hotel Happiness,1963-01-19,0.827,0.641,162640,0.345,0.00895,0.0688,0.0452
Brook Benton,It's Just a Matter of Time - Rerecorded,1959-04-20,0.858,0.571,145067,0.273,0.151,0.17,0.0331
Brook Benton,Kiddio - Remastered,1960-10-10,0.647,0.796,161867,0.464,2.78e-05,0.0744,0.0552
Brook Benton,Rainy Night in Georgia,1970-03-21,0.524,0.301,233573,0.309,0.0758,0.129,0.042
Brook Benton,So Many Ways,1959-12-14,0.668,0.456,147907,0.441,0.0,0.117,0.0347
Brook Benton,The Boll Weevil Song,1961-07-31,0.248,0.716,160000,0.34,2.89e-06,0.309,0.0585
Brooklyn Bridge,Worst That Could Happen,1969-03-01,0.58,0.275,187067,0.333,0.0,0.111,0.0291
Brownstone,If You Love Me,1995-03-25,0.225,0.687,304160,0.583,0.0,0.105,0.0639
Brownsville Station,Smokin' in the Boy's Room,1974-01-26,0.735,0.575,176453,0.756,0.0401,0.0755,0.0544
Bruce Channel,Hey! Baby - Remastered,1962-04-14,0.359,0.515,143627,0.623,0.0,0.274,0.036
"Bruce Hornsby, The Range",Mandolin Rain,1987-04-04,0.822,0.563,318947,0.421,2.28e-05,0.122,0.0311
"Bruce Hornsby, The Range",The Valley Road,1988-07-09,0.411,0.619,282293,0.55,0.00637,0.0835,0.0291
"Bruce Hornsby, The Range",The Way It Is,1987-01-10,0.607,0.582,297853,0.689,0.0571,0.145,0.0277
Bruce Springsteen,Born in the U.S.A.,1985-01-19,0.000373,0.398,278680,0.952,7.75e-05,0.1,0.061
Bruce Springsteen,Brilliant Disguise,1987-11-28,0.152,0.703,254840,0.726,1.45e-06,0.0319,0.029
Bruce Springsteen,Cover Me,1984-10-20,0.00188,0.535,205987,0.884,0.00126,0.14,0.0407
Bruce Springsteen,Dancing In the Dark,1984-08-11,0.0115,0.527,241307,0.942,0.0,0.188,0.0366
Bruce Springsteen,Glory Days,1985-08-10,0.0457,0.574,254733,0.96,0.0,0.121,0.032
Bruce Springsteen,Hungry Heart,1981-01-24,0.0857,0.641,199453,0.894,0.009,0.157,0.0273
Bruce Springsteen,I'm Goin' Down,1985-10-26,0.117,0.579,209040,0.948,1.19e-06,0.121,0.0535
Bruce Springsteen,I'm On Fire,1985-04-27,0.589,0.62,155880,0.446,0.0299,0.0727,0.0347
Bruce Springsteen,My Hometown,1986-02-01,0.486,0.652,279667,0.338,5.9e-05,0.0744,0.0367
Bruce Springsteen,"Red Headed Woman - Live at Warner Hollywood Studios, Los Angeles, CA - September 1992",1987-01-10,0.643,0.438,171333,0.515,0.0,0.973,0.0401
Bruce Springsteen,Streets of Philadelphia - Single Edit,1994-04-23,0.294,0.741,195080,0.29,0.118,0.0924,0.0302
Bruce Springsteen,Tunnel of Love,1988-02-06,0.0501,0.587,309760,0.675,0.00243,0.479,0.0366
Bruce Willis,Respect Yourself,1987-03-21,0.064,0.731,233160,0.591,0.00014,0.347,0.0343
Bruno Mars,24K Magic,2017-02-04,0.034,0.818,225983,0.803,0.0,0.153,0.0797
Bruno Mars,Grenade,2011-04-02,0.148,0.704,222091,0.558,0.0,0.107,0.0542
Bruno Mars,It Will Rain,2012-02-18,0.337,0.576,257720,0.835,0.0,0.082,0.0486
Bruno Mars,Just the Way You Are,2011-01-29,0.0134,0.635,220734,0.841,0.0,0.0622,0.0422
Bruno Mars,Locked out of Heaven,2013-03-23,0.049,0.726,233478,0.698,0.0,0.309,0.0431
Bruno Mars,That's What I Like,2017-09-09,0.013,0.853,206693,0.56,0.0,0.0944,0.0406
Bruno Mars,The Lazy Song,2011-07-09,0.3,0.794,189109,0.711,0.0,0.0955,0.0699
Bruno Mars,Treasure,2013-08-31,0.0412,0.874,178560,0.692,7.24e-05,0.324,0.0431
Bruno Mars,When I Was Your Man,2013-06-08,0.932,0.612,213827,0.28,0.0,0.088,0.0434
"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,2021-07-17,0.182,0.586,242096,0.616,0.0,0.0927,0.0324
"Bruno Mars, Cardi B",Finesse - Remix; feat. Cardi B,2018-04-21,0.0185,0.704,217289,0.859,0.0,0.0215,0.0996
Bryan Adams,Have You Ever Really Loved A Woman?,1995-07-29,0.536,0.57,291667,0.478,1.33e-05,0.0931,0.0322
Bryan Adams,Heat Of The Night,1987-05-30,0.257,0.486,307000,0.853,0.000824,0.355,0.0297
Bryan Adams,Heaven,1985-07-06,0.0465,0.382,243360,0.589,0.0,0.122,0.0267
Bryan Adams,Please Forgive Me,1994-02-05,0.516,0.587,355640,0.456,0.0,0.104,0.0262
Bryan Adams,Run To You,1985-01-26,0.00515,0.561,233270,0.811,3.6e-05,0.287,0.0265
Bryan Adams,Straight From The Heart,1983-06-04,0.0766,0.587,211933,0.237,0.0,0.139,0.0272
Bryan Adams,Summer Of '69,1985-09-07,0.0183,0.508,216053,0.834,0.0,0.0732,0.0386
"Bryan Adams, Sting, Rod Stewart",All For Love,1994-03-12,0.197,0.512,282773,0.534,0.0,0.0907,0.0253
"Bubba Sparxxx, Ying Yang Twins, Mr. Collipark",Ms. New Booty,2006-05-20,0.016,0.64,252653,0.62,0.0,0.0831,0.416
Buckcherry,Sorry,2008-03-08,0.0315,0.54,228387,0.773,0.0,0.176,0.0288
Buckner & Garcia,Pac-Man Fever,1982-04-03,0.485,0.802,229042,0.831,0.000121,0.302,0.0627
Buffalo Springfield,For What It's Worth,1967-04-01,0.406,0.653,153693,0.519,0.0209,0.101,0.0497
Burl Ives,A Holly Jolly Christmas,2021-01-02,0.579,0.683,135533,0.375,0.0,0.076,0.0303
Burl Ives,A Little Bitty Tear - Single Version,1962-02-24,0.896,0.58,125400,0.209,0.243,0.116,0.0464
Burl Ives,Funny Way Of Laughing,1962-05-19,0.727,0.495,161040,0.345,0.0,0.0906,0.0399
Burton Cummings,Stand Tall,1977-01-15,0.0243,0.463,272293,0.396,7.23e-05,0.173,0.0304
Busta Rhymes,Dangerous,1998-02-14,0.0096,0.913,217640,0.6,0.0,0.117,0.202
Busta Rhymes,Turn It Up / Fire It Up - Remix,1998-05-09,0.00511,0.817,237907,0.84,0.000345,0.288,0.0923
Busta Rhymes,Woo Hah!! Got You All in Check,1996-05-04,0.127,0.842,271973,0.831,0.0,0.0881,0.242
"Busta Rhymes, Janet Jackson",What's It Gonna Be?! (feat. Janet Jackson),1999-05-22,0.204,0.797,324400,0.934,0.0,0.119,0.0926
"Busta Rhymes, Mariah Carey, Flipmode Squad",I Know What You Want (feat. Flipmode Squad),2003-07-05,0.0142,0.648,324307,0.759,0.0,0.648,0.306
Buzz Clifford,Baby Sittin' Boogie,1961-03-20,0.963,0.549,127400,0.457,1.18e-05,0.209,0.0711
Buzz Martin,Little Ole Model A,1967-10-21,0.589,0.578,161507,0.496,1.39e-05,0.145,0.0925
"C & C Music Factory, Freedom Williams",Things That Make You Go Hmmmm.... (feat. Freedom Williams),1991-09-28,0.0534,0.807,322333,0.935,0.00083,0.343,0.0498
C+C Music Factory (Presenting Freedom Williams),Gonna Make You Sweat (Everybody Dance Now) - Clivilless & Cole DJ's Choice Mix,1991-03-09,0.00199,0.806,299933,0.936,0.246,0.0935,0.0624
C.W. McCall,Convoy,1976-02-07,0.857,0.68,230600,0.543,0.000116,0.0881,0.141
CHIC,Good Times - 2018 Remaster,1979-09-15,0.0818,0.869,486187,0.503,0.00837,0.187,0.0479
CHIC,I Want Your Love - 2018 Remaster,1979-05-12,0.0185,0.699,413587,0.604,0.073,0.0868,0.0359
CHIC,Le Freak - 2018 Remaster,1979-03-03,0.0258,0.91,331360,0.641,6.42e-05,0.0642,0.0589
CHXPO,Tell Me You Love Me Even Though You Don’t,2014-11-22,0.389,0.674,129830,0.577,0.0,0.115,0.288
CJ,Whoopty,2021-02-13,0.2,0.719,123263,0.648,0.0,0.127,0.125
Calloway,I Wanna Be Rich,1990-05-19,0.0352,0.733,304200,0.781,0.00793,0.147,0.0857
Calvin Harris,Summer,2014-08-09,0.0211,0.596,222533,0.856,0.0178,0.141,0.0346
"Calvin Harris, Florence Welch",Sweet Nothing (feat. Florence Welch),2013-02-16,0.197,0.573,212560,0.929,0.000112,0.0567,0.109
"Calvin Harris, Rihanna",This Is What You Came For,2016-10-15,0.199,0.631,222160,0.927,0.119,0.148,0.0332
Cameo,Word Up,1986-12-06,0.0421,0.878,260000,0.84,0.0035,0.053,0.064
Camila Cabello,Never Be the Same,2018-05-26,0.181,0.637,226973,0.713,0.000637,0.137,0.0747
"Camila Cabello, Young Thug",Havana (feat. Young Thug),2018-04-07,0.184,0.765,217307,0.523,3.56e-05,0.132,0.03
"Cam’ron, Juelz Santana",Oh Boy,2002-08-03,0.0237,0.758,204707,0.768,0.0,0.141,0.174
"Cam’ron, Juelz Santana, Freekey Zeekey, Toya",Hey Ma,2002-12-07,0.0293,0.771,220960,0.673,2.97e-06,0.364,0.366
Candyman,Knockin' Boots,1990-11-24,0.0954,0.94,233027,0.662,0.0,0.376,0.292
Capital Cities,Safe And Sound,2013-10-05,0.000176,0.655,192790,0.819,0.00374,0.104,0.0316
Captain & Tennille,Do That To Me One More Time,1980-03-08,0.563,0.728,256667,0.524,0.000131,0.0913,0.0255
Captain & Tennille,Lonely Night (Angel Face),1976-04-17,0.508,0.593,198200,0.698,2.23e-05,0.0796,0.191
Captain & Tennille,Muskrat Love,1976-12-18,0.89,0.659,228160,0.257,0.00014,0.252,0.0382
Captain & Tennille,Shop Around,1976-07-17,0.274,0.643,210240,0.719,3.72e-05,0.0488,0.0426
Captain & Tennille,The Way I Want To Touch You,1975-12-06,0.624,0.664,163587,0.585,0.000112,0.343,0.0248
Captain & Tennille,You Never Done It Like That,1978-11-25,0.555,0.622,201800,0.777,0.0,0.288,0.0677
Cardi B,Up,2021-05-08,0.0012,0.868,156945,0.795,0.0193,0.0461,0.269
"Cardi B, Bad Bunny, J Balvin",I Like It,2018-10-20,0.099,0.816,253390,0.726,0.0,0.372,0.129
"Cardi B, Bruno Mars",Please Me,2019-04-27,0.0642,0.747,200890,0.57,0.0,0.0832,0.081
"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),2020-11-14,0.0194,0.935,187541,0.454,0.0,0.0824,0.375
"Carl Anderson, Gloria Loring",Friends And Lovers (feat. Gloria Loring),1986-10-11,0.766,0.39,226560,0.313,0.0,0.138,0.0312
Carl Carlton,Everlasting Love,1974-11-30,0.719,0.546,153947,0.828,0.03,0.372,0.0394
"Carl Dobkins, Jr.",My Heart Is an Open Book,1959-08-24,0.642,0.855,130093,0.269,0.0,0.0703,0.0558
Carl Douglas,Kung Fu Fighting,1975-01-11,0.0422,0.598,197693,0.673,6.9e-05,0.289,0.0693
Carla Thomas,"Gee Whiz, Look at His Eyes",1961-03-27,0.582,0.228,141840,0.358,2.84e-06,0.129,0.0306
Carly Rae Jepsen,Call Me Maybe,2012-09-15,0.0114,0.783,193400,0.58,2.28e-06,0.108,0.0408
Carly Simon,Nobody Does It Better,1977-11-19,0.592,0.367,223640,0.594,1.06e-05,0.258,0.0292
Carly Simon,That's The Way I've Always Heard It Should Be,1971-07-17,0.938,0.4,258133,0.0897,0.000521,0.0847,0.0288
Carly Simon,You Belong to Me,1978-07-08,0.26,0.635,232667,0.661,1.01e-05,0.0906,0.0471
Carly Simon,You're so Vain,1973-03-03,0.157,0.659,258411,0.678,6.69e-06,0.0784,0.0313
"Carly Simon, James Taylor",Mockingbird,1974-04-13,0.0532,0.716,254240,0.753,0.000619,0.183,0.0368
Carole King,It's Too Late,1971-08-07,0.493,0.45,233173,0.442,0.00564,0.134,0.0353
Carole King,Jazzman,1974-11-09,0.227,0.576,223440,0.657,0.000909,0.231,0.0297
Carole King,Nightingale,1975-03-01,0.0757,0.622,216067,0.542,1.02e-06,0.0623,0.0292
Carole King,Sweet Seasons,1972-03-04,0.305,0.66,193840,0.545,0.00185,0.099,0.0274
Carpenters,"For All We Know - From ""Lovers And Other Strangers"" Soundtrack",1971-04-17,0.879,0.307,158933,0.237,1.65e-05,0.0871,0.0304
Carpenters,Goodbye To Love,1972-09-02,0.422,0.22,238267,0.361,0.000311,0.149,0.0277
Carpenters,Hurting Each Other,1972-03-11,0.765,0.341,168533,0.325,0.0,0.3,0.038
Carpenters,Only Yesterday,1975-05-31,0.0271,0.359,250868,0.438,0.0,0.131,0.0376
Carpenters,Please Mr. Postman,1975-02-01,0.139,0.664,172733,0.547,1.79e-06,0.239,0.0281
Carpenters,Rainy Days And Mondays,1971-07-17,0.852,0.351,218893,0.235,0.0,0.0688,0.0323
Carpenters,Sing,1973-05-05,0.909,0.506,198760,0.28,0.000311,0.164,0.0397
Carpenters,Superstar,1971-11-13,0.728,0.306,231507,0.253,4.89e-05,0.138,0.0294
Carpenters,Top Of The World,1973-12-29,0.806,0.379,179173,0.343,0.0,0.0991,0.0385
Carpenters,We've Only Just Begun,1970-12-05,0.771,0.41,185160,0.321,3.34e-06,0.103,0.0292
Carpenters,Yesterday Once More,1973-08-11,0.672,0.254,233533,0.38,0.0,0.379,0.0337
Carrie Underwood,Before He Cheats,2007-06-16,0.271,0.519,199947,0.749,0.0,0.119,0.0405
Carrie Underwood,I Told You So,2009-04-04,0.643,0.423,257893,0.522,0.0,0.122,0.029
Carrie Underwood,Inside Your Heaven (Bonus Track),2005-07-23,0.112,0.377,225280,0.565,1.65e-06,0.204,0.0312
Cascada,Everytime We Touch,2006-03-11,0.00281,0.633,197124,0.976,1.29e-05,0.382,0.0519
Case,Missing You,2001-05-12,0.285,0.612,284667,0.579,0.0,0.0556,0.0553
"Case, Joe",Faded Pictures,1999-02-20,0.125,0.705,229773,0.511,1.72e-06,0.153,0.202
"Cassidy, R. Kelly",Hotel (feat. R. Kelly),2004-04-10,0.118,0.68,247040,0.659,0.0,0.107,0.211
Cassie,Me & U,2006-09-16,0.352,0.803,192213,0.454,0.0,0.0655,0.0294
Cat Power,Sea of Love,1959-09-28,0.94,0.585,139467,0.0859,0.0,0.16,0.0484
Cathy Dennis,Just Another Dream - 7” US Mix,1991-02-02,0.0112,0.668,241920,0.736,0.0612,0.0767,0.0387
Cathy Dennis,Too Many Walls,1991-09-21,0.36,0.723,265800,0.587,8.83e-05,0.0756,0.0265
Cathy Dennis,"Touch Me (All Night Long) - 7"" Mix",1991-06-01,0.00326,0.655,209067,0.776,0.081,0.307,0.0326
"Cayne Money, Liliia Kysil",Don’t Take It Personal,1995-08-26,0.26,0.604,192048,0.417,0.0,0.244,0.0771
CeCe Peniston,Finally,1992-02-22,0.00653,0.791,245000,0.658,0.0,0.0472,0.0445
Celtic Woman,A Woman's Heart,1968-02-10,0.649,0.468,265947,0.414,2.37e-05,0.151,0.0301
Chad & Jeremy,A Summer Song,1964-10-24,0.754,0.599,158413,0.403,0.000314,0.131,0.0299
"Chad Kroeger, Josey Scott",Hero (feat. Josey Scott),2002-08-17,0.00216,0.427,200480,0.843,0.0,0.179,0.0364
Chaka Khan,I Feel for You,1984-12-29,0.0145,0.698,343400,0.912,0.0225,0.279,0.0675
Chaka Khan,I’m Every Woman,1993-04-03,0.123,0.617,247360,0.901,7.18e-05,0.324,0.0448
"Chamillionaire, Krayzie Bone",Ridin',2006-07-22,0.189,0.787,303053,0.799,0.0,0.3,0.0993
Changing Faces,G.H.E.T.T.O.U.T.,1997-07-05,0.391,0.71,264960,0.312,2.19e-06,0.0682,0.0325
Changing Faces,Stroke You Up,1994-10-22,0.278,0.73,216546,0.731,0.0,0.258,0.0279
Chanté Moore,Chante's Got A Man,1999-06-19,0.201,0.75,264973,0.645,0.0,0.0582,0.0576
Charlene,I've Never Been To Me,1982-06-05,0.843,0.473,234773,0.332,0.0,0.0853,0.0426
"Charli Baltimore, Ja Rule, Ashanti, Vita",Down 4 U,2002-08-31,0.252,0.64,318213,0.59,0.0,0.665,0.32
Charli XCX,Boom Clap,2014-10-04,0.154,0.659,169866,0.911,0.000304,0.191,0.0786
Charlie Puth,Attention,2017-10-07,0.109,0.775,208787,0.613,2.33e-05,0.134,0.0542
"Charlie Puth, Selena Gomez",We Don't Talk Anymore (feat. Selena Gomez),2016-10-08,0.621,0.728,217707,0.563,0.0,0.179,0.134
Charlie Rich,The Most Beautiful Girl,1974-01-05,0.661,0.576,161907,0.318,7.47e-06,0.167,0.0286
Cheap Trick,Don't Be Cruel,1988-10-22,0.0747,0.538,187200,0.497,1.64e-06,0.0713,0.0357
Cheap Trick,I Want You to Want Me,1979-08-04,0.78,0.806,191227,0.462,0.0134,0.15,0.0298
Cheap Trick,The Flame,1988-07-23,0.513,0.629,338800,0.581,2.06e-06,0.0755,0.027
Cher,Believe,1999-05-29,0.0082,0.652,239027,0.917,0.0,0.0509,0.0548
Cher,Dark Lady,1974-04-06,0.49,0.527,209200,0.405,0.0,0.0936,0.0385
Cher,"Gypsys, Tramps & Thieves",1971-12-11,0.211,0.476,158000,0.677,0.0,0.0601,0.0365
Cher,Half-Breed,1973-11-10,0.524,0.646,167533,0.467,0.0,0.329,0.0325
Cher,I Found Someone,1988-03-05,0.557,0.538,223160,0.604,0.0,0.162,0.0262
Cher,If I Could Turn Back Time,1989-10-07,0.243,0.658,239827,0.575,0.0,0.122,0.0267
Cher,Just Like Jesse James,1990-01-13,0.17,0.4,245733,0.563,0.0,0.133,0.0307
Cher,Take Me Home,1979-05-19,0.00562,0.706,403000,0.524,2.13e-05,0.0297,0.0681
Cher,The Way Of Love,1972-03-25,0.304,0.319,152493,0.321,0.0,0.144,0.0289
Cher,You Better Sit Down Kids,1967-12-23,0.645,0.593,225000,0.458,0.0,0.32,0.0954
"Cher, Peter Cetera",After All (Love Theme From Chances Are),1989-05-20,0.561,0.517,244360,0.335,0.0,0.0876,0.0324
Cherry Glazerr,Big Bang,1966-05-07,0.00747,0.475,169933,0.711,0.00452,0.0722,0.0294
Chesney Hawkes,The One and Only,1991-11-02,0.357,0.681,223667,0.697,0.0,0.388,0.0327
Chicago,25 or 6 to 4 - 2002 Remaster,1970-09-26,0.309,0.604,289800,0.905,0.0632,0.0837,0.0578
Chicago,Beginnings - 2002 Remaster,1971-08-21,0.137,0.52,474133,0.932,0.0188,0.654,0.0875
Chicago,Call on Me - 2002 Remaster,1974-08-17,0.156,0.596,242653,0.796,0.000542,0.0881,0.0644
Chicago,Does Anybody Really Know What Time It Is?,1971-01-09,0.645,0.564,202133,0.455,3.05e-06,0.0915,0.0369
Chicago,Feelin' Stronger Every Day - 2002 Remaster,1973-09-01,0.00946,0.375,254933,0.878,0.0091,0.279,0.0649
Chicago,Hard Habit to Break - 2006 Remaster,1984-11-10,0.448,0.584,283733,0.612,0.0,0.171,0.0283
Chicago,Hard to Say I'm Sorry - 2009 Remaster,1982-10-16,0.695,0.537,221827,0.417,1.86e-06,0.151,0.0273
Chicago,I Don't Wanna Live Without Your Love,1988-09-03,0.0658,0.43,234467,0.635,0.00185,0.0981,0.0374
Chicago,If You Leave Me Now,1976-11-13,0.0197,0.434,235373,0.563,0.000824,0.128,0.0268
Chicago,Just You 'N' Me - 2002 Remaster,1973-12-22,0.262,0.618,222440,0.651,0.000148,0.121,0.0293
Chicago,Look Away - 2009 Remaster,1989-01-07,0.385,0.553,242960,0.545,5.36e-06,0.105,0.0261
Chicago,Make Me Smile (Single Version) - 2002 Remaster,1970-06-13,0.129,0.619,178933,0.773,0.0487,0.519,0.063
Chicago,Old Days,1975-06-14,0.0184,0.503,204067,0.808,0.000262,0.332,0.0603
Chicago,Saturday in the Park - 2002 Remaster,1972-09-30,0.155,0.67,235667,0.763,0.0,0.0799,0.0341
Chicago,What Kind of Man Would I Be?,1990-02-24,0.0701,0.517,252360,0.764,2.78e-06,0.221,0.0282
